user_id,user_id_raw,full_name,pan,pan_status,aadhaar_last4,aadhaar_status,date_of_birth,dob_invalid,age,city,state,city_state_mismatch,monthly_income,income_was_negative,occupation,signup_timestamp,signup_in_future,kyc_status,risk_segment,id_record_count
USR10095,usr10095,Dalbir Kala,MYAQM7278K,VALID,,INVALID,1996-11-30,False,29.3,Jalandhar,Punjab,False,33245.0,False,Gig Worker,2025-07-11 19:32:49,False,VERIFIED,LOW,1
USR10096,USR10096,Michael Kapadia,JKIQW6925C,VALID,4944,VALID,1980-05-03,False,45.9,Hyderabad,Telangana,False,19706.0,False,Unemployed,2024-07-27 00:00:00,False,VERIFIED,LOW,1
USR10097,USR10097,Faris Rattan,EJTQU5238W,VALID,2048,VALID,1961-09-26,False,64.5,Kolkata,West Bengal,False,71021.0,False,Unemployed,2025-02-10 00:00:00,False,VERIFIED,LOW,1
USR10098,10098,Xiti Ben,,INVALID,2413,VALID,1961-10-12,False,64.5,Chennai,Tamil Nadu,False,9421.0,False,Gig Worker,2025-07-22 00:00:00,False,REJECTED,LOW,2
USR10100,10100,Gavin Mani,,MISSING,7502,VALID,2002-12-29,False,23.3,Jalandhar,Punjab,False,79104.0,False,Student,2025-04-15 00:00:00,False,VERIFIED,LOW,1
USR10101,USR10101,Vincent Borra,VFLAA3488C,VALID,0994,VALID,1966-08-21,False,59.6,Jalandhar,Punjab,False,34000.0,False,Unemployed,2024-07-24 00:00:00,False,VERIFIED,HIGH,1
USR10106,USR-10106,Onveer Devi,,INVALID,2188,VALID,2004-10-20,False,21.4,Ludhiana,Punjab,False,27821.0,False,Unemployed,2024-01-19 00:00:00,False,VERIFIED,LOW,1
USR10107,10107,Kalpit Narayan,PSZIU4769J,VALID,9442,VALID,1982-03-24,False,44.0,Hyderabad,Telangana,False,47795.0,False,Self Employed,2026-02-19 00:00:00,False,VERIFIED,LOW,1
USR10108,USR10108,Chameli Nadig,,INVALID,7838,VALID,1974-01-08,False,52.2,Chennai,Tamil Nadu,False,21734.0,False,Salaried,2025-11-03 14:51:55,False,VERIFIED,MEDIUM,1
USR10114,USR 10114,Anya Gera,,MISSING,,MISSING,1970-10-14,False,55.5,Delhi,Delhi,False,17607.0,False,Retired,2024-03-27 14:07:08,False,VERIFIED,MEDIUM,1
USR10115,USR-10115,Veda Wali,UBCJF9557Q,VALID,7377,VALID,1966-08-16,False,59.6,Chennai,Tamil Nadu,False,34289.0,False,Salaried,2025-09-27 22:29:40,False,VERIFIED,LOW,1
USR10123,USR 10123,Jyoti Mukhopadhyay,VFJGH8521W,VALID,8808,VALID,1984-08-31,False,41.6,Lucknow,Uttar Pradesh,False,14855.0,False,Retired,2026-01-15 16:51:32,False,VERIFIED,MEDIUM,1
USR10126,USR10126,Chandresh Bail,ERXIZ5289Y,VALID,0560,VALID,1968-05-10,False,57.9,Pune,Maharashtra,False,49735.0,False,Unemployed,2025-01-21 00:00:00,False,VERIFIED,LOW,1
USR10129,10129,Gabriel Dugar,OWICS9646E,VALID,0278,VALID,1986-04-16,False,40.0,Lucknow,Uttar Pradesh,False,30244.0,False,Freelancer,2025-09-13 00:00:00,False,VERIFIED,MEDIUM,1
USR10130,10130,Osha Raj,HHAIS6963P,VALID,3233,VALID,1990-06-25,False,35.8,Pune,Maharashtra,False,52292.0,False,Business Owner,2024-07-25 00:00:00,False,PENDING,LOW,1
USR10131,USR 10131,Kashish Dua,JBNMU8104T,VALID,5895,VALID,2001-01-25,False,25.2,Chennai,Tamil Nadu,False,39868.0,False,Business Owner,2026-02-14 00:00:00,False,VERIFIED,UNKNOWN,1
USR10133,10133,Finn Cheema,MXJMT0296U,VALID,4462,VALID,1982-11-17,False,43.4,Mumbai,Maharashtra,False,38349.0,False,Self Employed,2025-07-20 00:00:00,False,VERIFIED,HIGH,1
USR10143,USR10143,Vrishti Devi,QBJQU2549A,VALID,7341,VALID,1973-01-23,False,53.2,Mumbai,Maharashtra,False,20853.0,False,Farmer,2025-02-26 00:00:00,False,VERIFIED,LOW,1
USR10155,USR10155,Vasatika Pall,VGPGC1828H,VALID,9131,VALID,1970-08-21,False,55.6,Mumbai,Maharashtra,False,,False,Salaried,2024-12-26 04:40:00,False,IN_REVIEW,HIGH,1
USR10157,USR10157,Jonathan Sood,SFLSS8791F,VALID,,INVALID,1963-01-03,False,63.2,Pune,Maharashtra,False,34003.0,False,Business Owner,2024-10-04 00:00:00,False,VERIFIED,HIGH,2
USR10161,USR10161,Ganga Date,,INVALID,3481,VALID,,False,,Jaipur,Rajasthan,False,49452.0,False,Gig Worker,2024-11-09 00:00:00,False,VERIFIED,LOW,1
USR10165,USR10165,Manbir Manne,ACZUX1398N,VALID,4479,VALID,1993-06-01,False,32.8,Chennai,Tamil Nadu,False,,False,Self Employed,2025-07-22 00:00:00,False,IN_REVIEW,LOW,1
USR10166,USR10166,Maya Sane,ZXJPO3686X,VALID,2537,VALID,1978-01-19,False,48.2,Jaipur,Rajasthan,False,35800.0,False,Salaried,2024-04-22 00:00:00,False,VERIFIED,MEDIUM,1
USR10168,USR10168,Aarini Rajan,JPGRS7003U,VALID,2856,VALID,1967-09-17,False,58.5,Bengaluru,Karnataka,False,11300.0,False,Retired,2025-01-06 00:00:00,False,IN_REVIEW,LOW,1
USR10171,USR10171,Aditya Sibal,,MISSING,0236,VALID,1987-10-23,False,38.4,Jaipur,Rajasthan,False,22421.0,False,Salaried,2024-08-12 02:26:04,False,VERIFIED,UNKNOWN,2
USR10174,usr_10174,Dayamai Borra,GXEQU6279D,VALID,0522,VALID,1962-03-28,False,64.0,Chennai,Tamil Nadu,False,97324.0,False,Farmer,2025-05-24 00:00:00,False,VERIFIED,LOW,1
USR10176,10176,Alka Bir,,INVALID,5526,MASKED,1971-02-24,False,55.1,Chennai,Tamil Nadu,False,27058.0,False,Salaried,2025-02-05 00:00:00,False,REJECTED,LOW,1
USR10182,USR10182,Gunbir Soman,,INVALID,4247,VALID,2007-05-07,False,18.9,Pune,Maharashtra,False,31424.0,False,Freelancer,2026-01-16 21:12:56,False,VERIFIED,LOW,1
USR10185,USR10185,Jasmit Rajagopalan,,MISSING,6991,VALID,1989-04-24,False,36.9,Amritsar,Punjab,False,74324.0,False,Gig Worker,2024-01-07 00:00:00,False,VERIFIED,LOW,1
USR10188,USR10188,Veer Seshadri,TBISJ6381N,VALID,7718,VALID,1968-09-04,False,57.6,Delhi,Delhi,False,23789.0,False,Gig Worker,2024-05-11 00:00:00,False,VERIFIED,MEDIUM,3
USR10192,usr10192,Lucky Sani,EUSEA1656K,VALID,5791,VALID,1980-06-12,False,45.8,Mumbai,Maharashtra,False,32350.0,False,Farmer,2025-07-24 00:00:00,False,VERIFIED,LOW,1
USR10194,USR10194,Balvan Narayanan,,MISSING,0365,VALID,1992-08-29,False,33.6,Lucknow,Uttar Pradesh,False,8557.0,False,Salaried,2025-12-02 23:44:00,False,VERIFIED,MEDIUM,2
USR10195,USR-10195,Unnati Shukla,WTDLO1743Z,VALID,3549,VALID,1988-04-16,False,38.0,Ludhiana,Punjab,False,11451.0,False,Student,2025-08-30 15:18:09,False,VERIFIED,HIGH,1
USR10200,USR10200,Ati Swaminathan,KJGSF3972C,VALID,8638,VALID,1974-03-16,False,52.0,Kolkata,West Bengal,False,41384.0,False,Unemployed,2025-09-01 11:23:45,False,VERIFIED,MEDIUM,1
USR10202,USR10202,Champak Bhatia,VXIXQ0284V,VALID,9717,VALID,1979-04-14,False,47.0,Kolkata,West Bengal,False,16825.0,False,Business Owner,2026-02-21 00:00:00,False,PENDING,LOW,2
USR10203,USR10203,Chanakya Mandal,DBZPN0182F,VALID,9035,VALID,1986-08-31,False,39.6,Pune,Maharashtra,False,49109.0,False,Self Employed,2025-12-31 00:00:00,False,VERIFIED,MEDIUM,1
USR10204,USR10204,Dhriti Rajagopal,QHAVT4269Z,VALID,7145,VALID,1968-03-03,False,58.1,Ludhiana,Punjab,False,16381.0,True,Self Employed,2025-12-25 00:00:00,False,VERIFIED,LOW,1
USR10205,USR10205,Diya Tiwari,CIOAM6886B,VALID,0977,VALID,,False,,Ludhiana,Punjab,False,11613.0,False,Student,2024-08-16 00:00:00,False,VERIFIED,MEDIUM,1
USR10207,USR-10207,Jack Taneja,RIEKD8431Z,VALID,,INVALID,1981-04-15,False,45.0,Ludhiana,Punjab,False,,False,Salaried,2024-01-17 00:00:00,False,REJECTED,LOW,1
USR10209,USR10209,Samarth Dey,SPRJX8660K,VALID,0336,VALID,2001-12-27,False,24.3,Bengaluru,Karnataka,False,14700.0,False,Retired,2024-01-09 00:00:00,False,VERIFIED,HIGH,1
USR10210,USR-10210,Radha Narayanan,DOJTA0907Z,VALID,0225,VALID,1996-03-20,False,30.0,Jalandhar,Punjab,False,37410.0,False,Freelancer,2025-07-14 12:39:47,False,PENDING,MEDIUM,1
USR10213,USR10213,Fariq Bhavsar,ASTFC3720B,VALID,,INVALID,1989-08-28,False,36.6,Jaipur,Rajasthan,False,29700.0,False,Student,2025-02-23 03:24:00,False,PENDING,HIGH,1
USR10214,USR10214,Turvi Kapur,XAWZM1730C,VALID,3628,VALID,1989-07-06,False,36.7,Ludhiana,Punjab,False,25164.0,False,Farmer,2025-10-28 00:18:34,False,IN_REVIEW,MEDIUM,2
USR10216,USR10216,Unni Vig,,INVALID,9726,VALID,1999-04-08,False,27.0,Jaipur,Rajasthan,False,48670.0,False,Salaried,2024-03-18 00:00:00,False,VERIFIED,LOW,1
USR10218,USR10218,Lekha Keer,TAMQI2883E,VALID,9469,VALID,1965-07-06,False,60.7,Ludhiana,Punjab,False,28990.0,False,Salaried,2026-03-12 00:00:00,False,VERIFIED,MEDIUM,1
USR10221,USR10221,Nathan Narain,QRDDA6314T,VALID,7534,VALID,1988-11-22,False,37.4,Pune,Maharashtra,False,76407.0,False,Unemployed,2026-01-07 00:00:00,False,VERIFIED,MEDIUM,1
USR10222,USR10222,Tamanna Chand,BRILX4429G,VALID,3349,VALID,1988-03-16,False,38.0,Amritsar,Punjab,False,38181.0,False,Student,2025-04-12 05:18:46,False,VERIFIED,LOW,1
USR10223,USR10223,Eesha Joshi,NKONK8611O,VALID,6450,VALID,,False,,Hyderabad,Telangana,False,,False,Freelancer,2024-02-17 18:52:51,False,PENDING,MEDIUM,1
USR10228,USR10228,Finn Gade,GYXZP9703T,VALID,4308,VALID,1992-08-01,False,33.7,Lucknow,Uttar Pradesh,False,18999.0,False,Business Owner,2025-12-15 00:00:00,False,VERIFIED,MEDIUM,1
USR10229,USR10229,Darika Sarna,DXZKM0876A,VALID,2654,VALID,1989-04-30,False,36.9,Amritsar,Punjab,False,22969.0,False,Student,2024-12-16 00:00:00,False,VERIFIED,MEDIUM,1
USR10232,USR10232,Vasana Prashad,LQLJH4277R,VALID,,INVALID,1970-01-26,False,56.2,Amritsar,Punjab,False,11400.0,False,Retired,2025-10-15 00:00:00,False,VERIFIED,HIGH,1
USR10233,USR 10233,Sara Reddy,,MISSING,9156,VALID,1988-05-06,False,37.9,Jaipur,Rajasthan,False,45878.0,False,Gig Worker,2024-03-01 00:00:00,False,VERIFIED,LOW,2
USR10239,USR10239,Girish Koshy,NCDMU2666Q,VALID,8046,VALID,1966-06-02,False,59.8,Pune,Maharashtra,False,38138.0,False,Retired,2025-05-31 00:00:00,False,VERIFIED,HIGH,2
USR10241,USR10241,Arya Koshy,CAEML1033G,VALID,,INVALID,2001-12-12,False,24.3,Mumbai,Maharashtra,False,25630.0,False,Business Owner,2024-10-27 00:00:00,False,VERIFIED,LOW,1
USR10245,USR10245,Aachal Gulati,SSCKX6976T,VALID,0643,VALID,1993-01-03,False,33.2,Amritsar,Punjab,False,28505.0,False,Student,2025-10-11 01:03:52,False,VERIFIED,MEDIUM,1
USR10249,USR10249,Pooja Mannan,TKQKC6386T,VALID,3783,VALID,1976-03-24,False,50.0,Chennai,Tamil Nadu,False,35209.0,False,Unemployed,2025-12-30 06:25:47,False,VERIFIED,MEDIUM,1
USR10257,USR10257,Tanish Issac,HQZWV0953B,VALID,6054,VALID,,False,,Jalandhar,Punjab,False,15854.0,False,Self Employed,2025-03-10 12:06:05,False,VERIFIED,UNKNOWN,1
USR10261,usr10261,Raksha Khanna,SBSKN9088C,VALID,5175,VALID,1992-10-19,False,33.4,Lucknow,Uttar Pradesh,False,34259.0,False,Freelancer,2025-02-22 00:00:00,False,VERIFIED,LOW,1
USR10262,usr10262,Baghyawati Ganesan,BCRWJ1533U,VALID,1658,VALID,1963-07-07,False,62.7,Lucknow,Uttar Pradesh,False,,False,Retired,2024-07-09 19:09:14,False,VERIFIED,LOW,1
USR10264,USR10264,Bhavya Kar,ZTYKZ0357G,VALID,,MISSING,,False,,Bengaluru,Karnataka,False,29708.0,False,Gig Worker,2025-06-03 00:00:00,False,PENDING,MEDIUM,1
USR10265,USR 10265,Ladli Borde,HTCMC8291O,VALID,,INVALID,,False,,Pune,Maharashtra,False,20579.0,False,Salaried,2025-06-10 00:00:00,False,VERIFIED,LOW,1
USR10267,USR10267,Nidra Jain,QURIV1241Y,VALID,9672,VALID,1988-09-15,False,37.5,Delhi,Delhi,False,33870.0,False,Farmer,2025-10-15 00:00:00,False,VERIFIED,LOW,1
USR10272,usr10272,Guneet Rao,,MISSING,4738,VALID,1992-08-28,False,33.6,Kolkata,West Bengal,False,57300.0,False,Farmer,2024-05-29 00:00:00,False,IN_REVIEW,LOW,1
USR10277,USR10277,Aarini Sani,NTTHD3525C,VALID,2322,VALID,2006-02-12,False,20.1,Pune,Maharashtra,False,,False,Unemployed,2025-05-11 00:00:00,False,VERIFIED,MEDIUM,2
USR10278,USR10278,Isha Patil,NQQFL8842P,VALID,5479,MASKED,1970-09-30,False,55.5,Bengaluru,Karnataka,False,35033.0,False,Farmer,2025-04-17 00:00:00,False,VERIFIED,LOW,1
USR10285,usr_10285,Samaksh Buch,TNCFZ5575D,VALID,7178,VALID,1980-10-01,False,45.5,Lucknow,Uttar Pradesh,False,25800.0,False,Freelancer,2025-09-11 10:14:00,False,VERIFIED,UNKNOWN,1
USR10288,usr10288,Eesha Gola,JGQKP4206F,VALID,,MISSING,1996-10-29,False,29.4,Jalandhar,Punjab,False,,False,Unemployed,2026-02-28 00:00:00,False,VERIFIED,HIGH,3
USR10289,USR10289,Gavin Chandra,PBIUE3421R,VALID,8660,VALID,1969-02-25,False,57.1,Bengaluru,Karnataka,False,23756.0,False,Student,2025-03-09 00:00:00,False,PENDING,LOW,1
USR10290,USR-10290,Yoshita Muni,HXFKY8683Z,VALID,,INVALID,1970-07-03,False,55.7,Pune,Maharashtra,False,7517.0,False,Farmer,2025-03-28 00:00:00,False,VERIFIED,LOW,1
USR10293,USR10293,Yauvani Mall,ZYZSL0066Z,VALID,9544,VALID,1985-10-25,False,40.4,Jaipur,Rajasthan,False,17900.0,False,Unemployed,2024-03-20 00:00:00,False,VERIFIED,LOW,1
USR10297,usr10297,Henry Ram,GGVHM4173F,VALID,5353,VALID,2004-01-20,False,22.2,Pune,Maharashtra,False,25349.0,False,Freelancer,2025-03-03 12:15:41,False,VERIFIED,LOW,1
USR10298,USR10298,Nikita Samra,XBNEX6709M,VALID,3972,VALID,1962-04-01,False,64.0,Mumbai,Maharashtra,False,28602.0,False,Retired,2025-08-12 00:00:00,False,REJECTED,LOW,1
USR10300,usr10300,Sathvik Ram,SCOOB9755A,VALID,1426,VALID,1973-02-24,False,53.1,Ludhiana,Punjab,False,35516.0,False,Farmer,2024-02-05 00:00:00,False,VERIFIED,LOW,1
USR10304,USR10304,Chandani Johal,AGBPP2761P,VALID,9367,VALID,1966-11-22,False,59.4,Jalandhar,Punjab,False,33744.0,True,Salaried,2025-09-18 00:00:00,False,VERIFIED,MEDIUM,1
USR10306,USR10306,Ira Vaidya,,INVALID,4441,VALID,1960-05-23,False,65.9,Delhi,Delhi,False,,False,Unemployed,,False,VERIFIED,MEDIUM,1
USR10309,USR10309,Aradhana Handa,,MISSING,,INVALID,1971-10-28,False,54.4,Kolkata,West Bengal,False,13000.0,False,Student,2025-03-12 18:10:14,False,PENDING,LOW,1
USR10310,USR-10310,Samesh Goyal,KLAXF9996K,VALID,,MISSING,1991-06-29,False,34.8,Lucknow,Uttar Pradesh,False,32802.0,False,Unemployed,2026-03-25 00:00:00,False,VERIFIED,MEDIUM,2
USR10312,usr_10312,Urishilla Banik,AAZUG0261P,VALID,9996,VALID,2000-06-15,False,25.8,Ludhiana,Punjab,False,19368.0,False,Student,2025-06-10 00:00:00,False,VERIFIED,LOW,1
USR10317,USR10317,Yatan Lalla,NKLPB6525C,VALID,3952,VALID,1989-10-13,False,36.5,Hyderabad,Telangana,False,32899.0,False,Self Employed,2024-06-12 00:00:00,False,VERIFIED,LOW,1
USR10318,USR-10318,Noah Sarkar,TKYNW5147D,VALID,5015,VALID,2002-09-04,False,23.6,Amritsar,Punjab,False,27205.0,False,Retired,2024-05-14 16:30:20,False,VERIFIED,MEDIUM,1
USR10326,USR-10326,Brijesh Gour,EXIZI9668V,VALID,9328,VALID,1977-11-23,False,48.4,Hyderabad,Telangana,False,,False,Self Employed,2026-01-19 00:00:00,False,VERIFIED,LOW,4
USR10329,USR10329,Ladli Hari,VWPMA2822M,VALID,,INVALID,,False,,Hyderabad,Telangana,False,29811.0,False,Gig Worker,2025-02-19 11:52:06,False,VERIFIED,LOW,2
USR10331,USR10331,Raksha Gour,CGXUY1589S,VALID,5703,VALID,2003-06-20,False,22.8,Mumbai,Maharashtra,False,,False,Salaried,2025-09-05 00:00:00,False,IN_REVIEW,LOW,2
USR10335,USR-10335,Gaurangi Pandey,EHQQI3191R,VALID,5439,VALID,1960-07-09,False,65.7,Chennai,Tamil Nadu,False,28904.0,False,Unemployed,2025-03-07 00:00:00,False,VERIFIED,LOW,1
USR10340,USR10340,Gauri Dubey,FPMZS0978S,VALID,9058,VALID,2003-12-30,False,22.3,Lucknow,Uttar Pradesh,False,26679.0,False,Retired,2025-03-12 14:10:54,False,VERIFIED,UNKNOWN,1
USR10341,USR10341,Daksha Khare,VKYGC2749O,VALID,1673,VALID,,False,,Pune,Maharashtra,False,59899.0,False,Unemployed,,False,VERIFIED,MEDIUM,1
USR10342,USR10342,Onveer Barad,NUIRL0166F,VALID,5481,VALID,1994-04-07,False,32.0,Lucknow,Uttar Pradesh,False,34469.0,False,Unemployed,,False,VERIFIED,UNKNOWN,1
USR10347,USR10347,Amruta Bobal,EUUAT6031K,VALID,7064,VALID,,False,,Chennai,Tamil Nadu,False,12979.0,False,Unemployed,2024-10-17 00:00:00,False,VERIFIED,HIGH,1
USR10349,usr10349,Kevin Korpal,ILQYB3209K,VALID,2461,VALID,1982-01-14,False,44.2,Mumbai,Maharashtra,False,45629.0,False,Farmer,,False,VERIFIED,LOW,1
USR10351,USR10351,Vaishnavi Brahmbhatt,,MISSING,,MISSING,1971-12-21,False,54.3,Pune,Maharashtra,False,55887.0,False,Freelancer,2024-11-10 00:00:00,False,PENDING,LOW,1
USR10353,usr10353,Saumya Balan,WCUEX2474T,VALID,,MISSING,1977-01-13,False,49.2,Bengaluru,Karnataka,False,,False,Student,2024-11-03 00:00:00,False,VERIFIED,MEDIUM,1
USR10356,USR10356,Charles Chawla,FKAHM1015N,VALID,,INVALID,2005-01-22,False,21.2,Chennai,Tamil Nadu,False,31980.0,False,Unemployed,,False,VERIFIED,MEDIUM,1
USR10357,usr10357,Jason Malhotra,XGGZJ2178R,VALID,6125,MASKED,1990-09-25,False,35.5,Delhi,Delhi,False,30960.0,False,Freelancer,2025-10-27 00:00:00,False,VERIFIED,LOW,1
USR10359,USR10359,Inaya Gandhi,YSLNO7107S,VALID,5159,VALID,1990-08-14,False,35.6,Bengaluru,Karnataka,False,,False,Student,2025-02-16 00:00:00,False,VERIFIED,MEDIUM,2
USR10361,USR10361,Andrew Bhardwaj,IEHEN3741V,VALID,6057,VALID,1990-07-04,False,35.7,Mumbai,Maharashtra,False,29294.0,False,Freelancer,2024-07-23 00:00:00,False,VERIFIED,LOW,1
USR10363,USR10363,Sarthak Doctor,MPEKY3167S,VALID,6037,VALID,1994-12-27,False,31.3,Jaipur,Rajasthan,False,16604.0,False,Business Owner,2024-06-09 00:00:00,False,VERIFIED,UNKNOWN,1
USR10369,USR 10369,Omya Zachariah,CFDSU8346V,VALID,2420,VALID,1961-03-26,False,65.0,Jalandhar,Punjab,False,,False,Retired,2024-08-03 00:00:00,False,VERIFIED,LOW,1
USR10374,USR 10374,Prisha Goel,YWBBI4612M,VALID,8479,VALID,1997-07-06,False,28.7,Bengaluru,Karnataka,False,86817.0,False,Gig Worker,2025-02-14 12:54:00,False,VERIFIED,LOW,1
USR10376,USR10376,Chaaya Desai,DUBFE5572G,VALID,6477,VALID,1975-10-14,False,50.5,Chennai,Tamil Nadu,False,19619.0,False,Farmer,2024-11-15 08:34:57,False,PENDING,LOW,1
